playlist_name,playlist_uri,playlist_tracks_url,playlist_num_tracks,snapshot_id,playlist_img,track_name,track_uri,artist_name,album_name,album_img,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode
Só as poderosas - Bossa nova,5N1iCCGGvmwjFtmDDSUYrL,https://api.spotify.com/v1/users/ivynasantino/playlists/5N1iCCGGvmwjFtmDDSUYrL/tracks,32,Eg9giAGwbeYGxuRgElEsY1Cl+QRVcpsGXHYPWAlAH+OI7yMzdubT9vAkjk0eZzkO,https://mosaic.scdn.co/640/016ea193c173e40f1ae68dab651568fef99b0bfe2a6784793fb33dc608ecce0f597367c0af169a23461c964b744c36369d741ea9460b42d3659bb1b4e8e6f6b5bb52a5b92ff36e307fbc420e26c19dc2,Ne Me Quitte Pas,49lRzFgaLRXkBtqXjWhxSK,Maysa,Maysa,https://i.scdn.co/image/7918908485b917f0eae3079494471d9229ea2c0d,39,0.368,0.148,D#,-10.325,minor,0.0478,0.964,0.00144,0.106,0.207,94.398,229293,4,D# minor
Só as poderosas - Bossa nova,5N1iCCGGvmwjFtmDDSUYrL,https://api.spotify.com/v1/users/ivynasantino/playlists/5N1iCCGGvmwjFtmDDSUYrL/tracks,32,Eg9giAGwbeYGxuRgElEsY1Cl+QRVcpsGXHYPWAlAH+OI7yMzdubT9vAkjk0eZzkO,https://mosaic.scdn.co/640/016ea193c173e40f1ae68dab651568fef99b0bfe2a6784793fb33dc608ecce0f597367c0af169a23461c964b744c36369d741ea9460b42d3659bb1b4e8e6f6b5bb52a5b92ff36e307fbc420e26c19dc2,Ne Me Quitte Pas - Ao Vivo,4JeuzXXqFTF7PiRL3QeOP2,Maysa,Canecao Apresenta Maysa,https://i.scdn.co/image/2a6b2d18412fe6645398c0d5292544fbd0567f0b,25,0.374,0.423,E,-6.758,minor,0.0839,0.584,0,0.955,0.239,67.096,221600,4,E minor
Só as poderosas - Bossa nova,5N1iCCGGvmwjFtmDDSUYrL,https://api.spotify.com/v1/users/ivynasantino/playlists/5N1iCCGGvmwjFtmDDSUYrL/tracks,32,Eg9giAGwbeYGxuRgElEsY1Cl+QRVcpsGXHYPWAlAH+OI7yMzdubT9vAkjk0eZzkO,https://mosaic.scdn.co/640/016ea193c173e40f1ae68dab651568fef99b0bfe2a6784793fb33dc608ecce0f597367c0af169a23461c964b744c36369d741ea9460b42d3659bb1b4e8e6f6b5bb52a5b92ff36e307fbc420e26c19dc2,O Barquinho,55JiV6v9f2vNb1dWNmt8lY,Maysa,Bossa Com Maysa,https://i.scdn.co/image/767d4968ab5e899e78f0c6559c852f5796228f6b,32,0.351,0.508,B,-9.253,minor,0.0466,0.85,0,0.127,0.423,81.909,139933,4,B minor
Só as poderosas - Bossa nova,5N1iCCGGvmwjFtmDDSUYrL,https://api.spotify.com/v1/users/ivynasantino/playlists/5N1iCCGGvmwjFtmDDSUYrL/tracks,32,Eg9giAGwbeYGxuRgElEsY1Cl+QRVcpsGXHYPWAlAH+OI7yMzdubT9vAkjk0eZzkO,https://mosaic.scdn.co/640/016ea193c173e40f1ae68dab651568fef99b0bfe2a6784793fb33dc608ecce0f597367c0af169a23461c964b744c36369d741ea9460b42d3659bb1b4e8e6f6b5bb52a5b92ff36e307fbc420e26c19dc2,Adeus,4LN56XHLhURGYJJkzAs687,Maysa,Hino ao amor (1958 - 1960),https://i.scdn.co/image/fcc81f6914d15cc8ded32b8e1ab62a8e7b7e300e,7,0.309,0.149,G,-15.172,major,0.0318,0.894,2.05e-4,0.396,0.215,93.757,197120,3,G major
Só as poderosas - Bossa nova,5N1iCCGGvmwjFtmDDSUYrL,https://api.spotify.com/v1/users/ivynasantino/playlists/5N1iCCGGvmwjFtmDDSUYrL/tracks,32,Eg9giAGwbeYGxuRgElEsY1Cl+QRVcpsGXHYPWAlAH+OI7yMzdubT9vAkjk0eZzkO,https://mosaic.scdn.co/640/016ea193c173e40f1ae68dab651568fef99b0bfe2a6784793fb33dc608ecce0f597367c0af169a23461c964b744c36369d741ea9460b42d3659bb1b4e8e6f6b5bb52a5b92ff36e307fbc420e26c19dc2,A felicidade,2L9vljHHBMWVjJxznWSzFC,Maysa,Hino ao amor (1958 - 1960),https://i.scdn.co/image/fcc81f6914d15cc8ded32b8e1ab62a8e7b7e300e,7,0.498,0.0672,F#,-16.884,minor,0.0417,0.874,0,0.265,0.382,72.624,155429,4,F# minor
Só as poderosas - Bossa nova,5N1iCCGGvmwjFtmDDSUYrL,https://api.spotify.com/v1/users/ivynasantino/playlists/5N1iCCGGvmwjFtmDDSUYrL/tracks,32,Eg9giAGwbeYGxuRgElEsY1Cl+QRVcpsGXHYPWAlAH+OI7yMzdubT9vAkjk0eZzkO,https://mosaic.scdn.co/640/016ea193c173e40f1ae68dab651568fef99b0bfe2a6784793fb33dc608ecce0f597367c0af169a23461c964b744c36369d741ea9460b42d3659bb1b4e8e6f6b5bb52a5b92ff36e307fbc420e26c19dc2,Manhã de carnaval,2HNipX1JIQJaa0hDxGdW8u,Maysa,Hino ao amor (1958 - 1960),https://i.scdn.co/image/fcc81f6914d15cc8ded32b8e1ab62a8e7b7e300e,6,0.58,0.169,B,-12.719,minor,0.0294,0.663,0,0.182,0.487,99.343,189048,4,B minor
Só as poderosas - Bossa nova,5N1iCCGGvmwjFtmDDSUYrL,https://api.spotify.com/v1/users/ivynasantino/playlists/5N1iCCGGvmwjFtmDDSUYrL/tracks,32,Eg9giAGwbeYGxuRgElEsY1Cl+QRVcpsGXHYPWAlAH+OI7yMzdubT9vAkjk0eZzkO,https://mosaic.scdn.co/640/016ea193c173e40f1ae68dab651568fef99b0bfe2a6784793fb33dc608ecce0f597367c0af169a23461c964b744c36369d741ea9460b42d3659bb1b4e8e6f6b5bb52a5b92ff36e307fbc420e26c19dc2,Solidao,0fUBBvaPWUhgaqCV5QKAPp,Maysa,"Bossa Nova Hits From Brazil - Agostinho,simonetti,maysa,miltinho",https://i.scdn.co/image/c24925b7f5f0a05024020f7d57a6082a9e5e84c7,26,0.401,0.217,G#,-9.085,major,0.0258,0.543,0,0.0738,0.287,85.203,188627,4,G# major
Só as poderosas - Bossa nova,5N1iCCGGvmwjFtmDDSUYrL,https://api.spotify.com/v1/users/ivynasantino/playlists/5N1iCCGGvmwjFtmDDSUYrL/tracks,32,Eg9giAGwbeYGxuRgElEsY1Cl+QRVcpsGXHYPWAlAH+OI7yMzdubT9vAkjk0eZzkO,https://mosaic.scdn.co/640/016ea193c173e40f1ae68dab651568fef99b0bfe2a6784793fb33dc608ecce0f597367c0af169a23461c964b744c36369d741ea9460b42d3659bb1b4e8e6f6b5bb52a5b92ff36e307fbc420e26c19dc2,Melancolia,3ss6VFaHH6GC9OgxUfLrz4,Maysa,Barquinho (Original Album Plus Bonus Tracks),https://i.scdn.co/image/95c08cf89afcf3be5d2dfd1a2363805167c07267,2,0.173,0.592,D,-3.902,major,0.0316,0.837,0.00116,0.282,0.254,174.115,196258,4,D major
Só as poderosas - Bossa nova,5N1iCCGGvmwjFtmDDSUYrL,https://api.spotify.com/v1/users/ivynasantino/playlists/5N1iCCGGvmwjFtmDDSUYrL/tracks,32,Eg9giAGwbeYGxuRgElEsY1Cl+QRVcpsGXHYPWAlAH+OI7yMzdubT9vAkjk0eZzkO,https://mosaic.scdn.co/640/016ea193c173e40f1ae68dab651568fef99b0bfe2a6784793fb33dc608ecce0f597367c0af169a23461c964b744c36369d741ea9460b42d3659bb1b4e8e6f6b5bb52a5b92ff36e307fbc420e26c19dc2,Só Você - Mais Nada,3Vf18becZXTtJv0wJA0eCM,Maysa,Barquinho (Original Album Plus Bonus Tracks),https://i.scdn.co/image/95c08cf89afcf3be5d2dfd1a2363805167c07267,1,0.298,0.357,A#,-8.605,major,0.0346,0.874,1.59e-4,0.136,0.237,171.959,114286,4,A# major
Só as poderosas - Bossa nova,5N1iCCGGvmwjFtmDDSUYrL,https://api.spotify.com/v1/users/ivynasantino/playlists/5N1iCCGGvmwjFtmDDSUYrL/tracks,32,Eg9giAGwbeYGxuRgElEsY1Cl+QRVcpsGXHYPWAlAH+OI7yMzdubT9vAkjk0eZzkO,https://mosaic.scdn.co/640/016ea193c173e40f1ae68dab651568fef99b0bfe2a6784793fb33dc608ecce0f597367c0af169a23461c964b744c36369d741ea9460b42d3659bb1b4e8e6f6b5bb52a5b92ff36e307fbc420e26c19dc2,Canção Do Amor Mais Triste,1Y5k9KNNYP5Z1JYVt059Xg,Maysa,Canção Do Amor Mais Triste,https://i.scdn.co/image/c3c34bc0b816993219156b1bd1e7f7dd222d55af,0,0.312,0.272,C#,-8.369,minor,0.03,0.976,9.83e-4,0.157,0.119,133.776,135993,4,C# minor
Só as poderosas - Bossa nova,5N1iCCGGvmwjFtmDDSUYrL,https://api.spotify.com/v1/users/ivynasantino/playlists/5N1iCCGGvmwjFtmDDSUYrL/tracks,32,Eg9giAGwbeYGxuRgElEsY1Cl+QRVcpsGXHYPWAlAH+OI7yMzdubT9vAkjk0eZzkO,https://mosaic.scdn.co/640/016ea193c173e40f1ae68dab651568fef99b0bfe2a6784793fb33dc608ecce0f597367c0af169a23461c964b744c36369d741ea9460b42d3659bb1b4e8e6f6b5bb52a5b92ff36e307fbc420e26c19dc2,Água De Beber,3VT6Ao0hL2Fz7QXBL0BkQA,Maysa,Canção Do Amor Mais Triste,https://i.scdn.co/image/c3c34bc0b816993219156b1bd1e7f7dd222d55af,0,0.608,0.348,C,-11.828,minor,0.0463,0.37,0,0.254,0.513,82.651,163265,4,C minor
